Step,HeadX,HeadY,Hunger,Tension,V,DetK
   92,     52.8834833547,     -5.0815999622,      0.0581649199,      0.0004962445,      0.0895000764,      1.0000000000
   93,     52.9072042939,     -4.8028378844,      0.0589083190,      0.0004975805,      0.1569988375,      1.0000000000
   94,     52.9064982701,     -4.8117043385,      0.0595234132,      0.0004989167,      0.0905721498,      1.0000000000
   95,     52.9057431276,     -4.8211177163,      0.0601384727,      0.0005002529,      0.0906432197,      1.0000000000
   96,     52.9049287881,     -4.8311927708,      0.0607534734,      0.0005015892,      0.0907360988,      1.0000000000
   97,     52.9040415059,     -4.8420860562,      0.0613683829,      0.0005029257,      0.0908584481,      1.0000000000
   98,     52.9940312164,     -3.7371755985,      0.0623195059,      0.0005042393,      0.3153621217,      1.0000000000
   99,     52.9939940600,     -3.7405035961,      0.0629343861,      0.0005055530,      0.0900252582,      1.0000000000
  100,     52.9939546190,     -3.7438351321,      0.0635493155,      0.0005068666,      0.0900032733,      1.0000000000
  101,     52.9939129100,     -3.7471701863,      0.0641642920,      0.0005081801,      0.0899819951,      1.0000000000
  102,     52.9938689495,     -3.7505087394,      0.0647793135,      0.0005094936,      0.0899613838,      1.0000000000
  103,     53.0036042430,     -3.0110013007,      0.0661191648,      0.0005107906,      0.4020142235,      1.0000000000
  104,     53.0041643376,     -3.0152723166,      0.0667305928,      0.0005120877,      0.0913487410,      1.0000000000
  105,     53.0047157495,     -3.0195594844,      0.0673420749,      0.0005133847,      0.0913242005,      1.0000000000
  106,     53.0052585182,     -3.0238631313,      0.0679536095,      0.0005146817,      0.0913002126,      1.0000000000
  107,     53.0057926816,     -3.0281835986,      0.0685651949,      0.0005159787,      0.0912767483,      1.0000000000
  108,     52.7795584437,     -1.1984225453,      0.0720693969,      0.0005172290,      1.2824017597,      1.0000000000
  109,     52.7860717618,     -1.2017943936,      0.0726689171,      0.0005184795,      0.0960253177,      1.0000000000
  110,     52.7925271146,     -1.2051692496,      0.0732685318,      0.0005197300,      0.0959819303,      1.0000000000
  111,     52.7989249875,     -1.2085470763,      0.0738682395,      0.0005209807,      0.0959390029,      1.0000000000
  112,     52.8052658619,     -1.2119278371,      0.0744680388,      0.0005222314,      0.0958965161,      1.0000000000
  113,     45.4092544276,      2.7313667644,      0.0968526647,      0.0005232047,      8.9047667233,      1.0000000000
  114,     45.5606261119,      2.7296761673,      0.0974242824,      0.0005241796,      0.1193208798,      1.0000000000
  115,     45.7114673484,      2.7279783679,      0.0979958318,      0.0005251577,      0.1192611816,      1.0000000000
  116,     45.8617782140,      2.7262733409,      0.0985673132,      0.0005261390,      0.1192015791,      1.0000000000
  117,     46.0115588039,      2.7245610593,      0.0991387271,      0.0005271235,      0.1191420630,      1.0000000000
  118,     44.8547027546,      2.7377728152,      0.1001162546,      0.0005280825,      0.3277389385,      1.0000000000
  119,     45.0127747604,      2.7360472919,      0.1006867588,      0.0005290449,      0.1204462706,      1.0000000000
  120,     45.1734456977,      2.7342778627,      0.1012562311,      0.0005300108,      0.1210316103,      1.0000000000
  121,     45.3404158565,      2.7324203756,      0.1018235388,      0.0005309802,      0.1223791748,      1.0000000000
  122,     45.5258116057,      2.7303286956,      0.1023849631,      0.0005319536,      0.1262257822,      1.0000000000
  123,     45.0882545913,      2.7351683906,      0.1031365219,      0.0005329173,      0.1781996821,      1.0000000000
  124,     45.5434088288,      2.7301793912,      0.1036171527,      0.0005338908,      0.1813431299,      1.0000000000
  125,     45.2922482249,      2.7327345373,      0.1043117521,      0.0005348588,      0.1398279135,      1.0000000000
  126,     66.8321231927,      2.5914164216,      0.0983938941,      0.0005362891,      4.5100781474,      1.0000000000
  127,     66.9097413197,      2.5891494564,      0.0989671400,      0.0005377207,      0.1102003873,      1.0000000000
  128,     61.7997929725,      2.7383798785,      0.1025307313,      0.0005390383,      1.5389623219,      1.0000000000
  129,     61.9013026709,      2.7362945740,      0.1031017066,      0.0005403581,      0.1133352629,      1.0000000000
  130,     62.0023871527,      2.7342051711,      0.1036727016,      0.0005416800,      0.1132766375,      1.0000000000
  131,     62.1030476830,      2.7321116785,      0.1042437163,      0.0005430040,      0.1132181692,      1.0000000000
  132,     62.2032855444,      2.7300141049,      0.1048147508,      0.0005443301,      0.1131598578,      1.0000000000
  133,     59.2439444946,      2.7919282710,      0.1068172676,      0.0005455910,      0.8277124999,      1.0000000000
  134,     59.3565180223,      2.7899151736,      0.1073877933,      0.0005468542,      0.1146703470,      1.0000000000
  135,     59.4686598091,      2.7878977663,      0.1079583117,      0.0005481198,      0.1146162758,      1.0000000000
  136,     59.5803744233,      2.7858759549,      0.1085288215,      0.0005493877,      0.1145631579,      1.0000000000
  137,     59.6916672346,      2.7838496277,      0.1090993212,      0.0005506579,      0.1145111863,      1.0000000000
  138,     57.3703011070,      2.8261029224,      0.1107055947,      0.0005518771,      0.6395765646,      1.0000000000
  139,     57.4907440859,      2.8241293661,      0.1112759817,      0.0005530989,      0.1155930843,      1.0000000000
  140,     57.6107887971,      2.8221512640,      0.1118463280,      0.0005543232,      0.1155504080,      1.0000000000
  141,     57.7304533999,      2.8201682255,      0.1124166267,      0.0005555500,      0.1155118318,      1.0000000000
  142,     57.8497618368,      2.8181797456,      0.1129868686,      0.0005567793,      0.1154787111,      1.0000000000
  143,     55.8894070410,      2.8508409124,      0.1143866843,      0.0005579656,      0.5389123395,      1.0000000000
